time,x,y,yaw,target_x,target_y,lookahead,curvature,cross_track_error,heading_error,steering_cmd,speed_cmd,battery_voltage,mission_state
0.0,0.0,0.0,0.75545,0.22141,0.20448,0.3,0.01625,0.0,0.0,-0.01614,0.79187,7.4,LANE_FOLLOW
0.02,0.00136,0.00128,0.75533,0.25921,0.23757,0.31538,0.01625,0.0,-0.00012,-0.02891,0.79187,7.4,LANE_FOLLOW
0.04,0.00391,0.00368,0.75506,0.25921,0.23757,0.33182,0.01625,-0.0,-0.00039,-0.03657,0.79187,7.4,LANE_FOLLOW
0.06,0.00752,0.00708,0.75467,0.25921,0.23757,0.34633,0.01625,-0.0,-0.00078,-0.04117,0.79187,7.4,LANE_FOLLOW
0.08,0.01206,0.01135,0.75419,0.29741,0.27019,0.35913,0.01625,-1e-05,-0.00126,-0.0472,0.79187,7.4,LANE_FOLLOW
0.1,0.01743,0.0164,0.75352,0.29741,0.27019,0.37042,0.01625,-2e-05,-0.00193,-0.05083,0.79187,7.4,LANE_FOLLOW
0.12,0.02353,0.02212,0.75276,0.33609,0.30223,0.37716,0.03241,-6e-05,-0.00105,-0.05659,0.7838,7.4,LANE_FOLLOW
0.14,0.03027,0.02843,0.75179,0.33609,0.30223,0.38576,0.03241,-7e-05,-0.00202,-0.06005,0.7838,7.4,LANE_FOLLOW
0.16,0.03756,0.03524,0.75074,0.33609,0.30223,0.39335,0.03241,-9e-05,-0.00307,-0.06215,0.7838,7.4,LANE_FOLLOW
0.18,0.04535,0.04251,0.74962,0.33609,0.30223,0.40005,0.03241,-0.00012,-0.00419,-0.06342,0.7838,7.4,LANE_FOLLOW
0.2,0.05358,0.05017,0.74844,0.37535,0.33357,0.40596,0.03241,-0.00017,-0.00538,-0.06858,0.7838,7.4,LANE_FOLLOW
0.22,0.0622,0.05818,0.74699,0.41522,0.36412,0.40431,0.06669,-0.00028,-0.00358,-0.07612,0.76666,7.4,LANE_FOLLOW
0.24,0.07114,0.06646,0.74528,0.41522,0.36412,0.40851,0.06669,-0.00033,-0.00529,-0.08067,0.76666,7.4,LANE_FOLLOW
0.26,0.08036,0.07497,0.7435,0.41522,0.36412,0.41222,0.06669,-0.00039,-0.00707,-0.08343,0.76666,7.4,LANE_FOLLOW
0.28,0.08985,0.08369,0.74169,0.41522,0.36412,0.41548,0.06669,-0.00049,-0.00888,-0.08511,0.76666,7.4,LANE_FOLLOW
0.3,0.09956,0.09259,0.73983,0.45578,0.39375,0.41151,0.10095,-0.00068,-0.00547,-0.09147,0.74952,7.4,LANE_FOLLOW
0.32,0.10944,0.10161,0.73765,0.45578,0.39375,0.41366,0.10095,-0.00075,-0.00765,-0.09531,0.74952,7.4,LANE_FOLLOW
0.34,0.11949,0.11074,0.73544,0.45578,0.39375,0.41554,0.10095,-0.00086,-0.00986,-0.09766,0.74952,7.4,LANE_FOLLOW
0.36,0.12968,0.11996,0.73319,0.4971,0.42232,0.41044,0.13483,-0.00115,-0.00561,-0.10512,0.73259,7.4,LANE_FOLLOW
0.38,0.13997,0.12923,0.7306,0.4971,0.42232,0.41151,0.13483,-0.00123,-0.00821,-0.10964,0.73259,7.4,LANE_FOLLOW
0.4,0.15035,0.13853,0.72798,0.4971,0.42232,0.41245,0.13483,-0.00134,-0.01082,-0.1124,0.73259,7.4,LANE_FOLLOW
0.42,0.16082,0.14786,0.72534,0.4971,0.42232,0.41329,0.13483,-0.00149,-0.01346,-0.1141,0.73259,7.4,LANE_FOLLOW
0.44,0.17137,0.15722,0.72269,0.53928,0.44959,0.40614,0.17426,-0.00185,-0.00728,-0.12247,0.71287,7.4,LANE_FOLLOW
0.46,0.18196,0.16655,0.71962,0.53928,0.44959,0.40633,0.17426,-0.00195,-0.01035,-0.12754,0.71287,7.4,LANE_FOLLOW
0.48,0.19259,0.17587,0.71654,0.53928,0.44959,0.40649,0.17426,-0.0021,-0.01343,-0.13064,0.71287,7.4,LANE_FOLLOW
0.5,0.20326,0.18516,0.71345,0.53928,0.44959,0.40664,0.17426,-0.00229,-0.01652,-0.13256,0.71287,7.4,LANE_FOLLOW
0.52,0.21397,0.19443,0.71036,0.53928,0.44959,0.39898,0.2132,-0.00265,-0.00876,-0.13377,0.6934,7.4,LANE_FOLLOW
0.54,0.22468,0.20364,0.70727,0.53928,0.44959,0.39863,0.2132,-0.00278,-0.01185,-0.13457,0.6934,7.4,LANE_FOLLOW
0.56,0.23539,0.2128,0.70418,0.53928,0.44959,0.39833,0.2132,-0.00294,-0.01494,-0.13512,0.6934,7.4,LANE_FOLLOW
0.58,0.24612,0.22191,0.7011,0.58237,0.47541,0.39043,0.25132,-0.0034,-0.00572,-0.14591,0.67434,7.4,LANE_FOLLOW
0.6,0.25681,0.23094,0.69743,0.58237,0.47541,0.38975,0.25132,-0.00348,-0.00938,-0.15246,0.67434,7.4,LANE_FOLLOW
0.62,0.2675,0.23989,0.69378,0.58237,0.47541,0.38914,0.25132,-0.00361,-0.01303,-0.15647,0.67434,7.4,LANE_FOLLOW
0.64,0.27818,0.24877,0.69014,0.58237,0.47541,0.38861,0.25132,-0.00379,-0.01668,-0.15897,0.67434,7.4,LANE_FOLLOW
0.66,0.28885,0.25759,0.68651,0.62641,0.49956,0.37817,0.30116,-0.00425,-0.00526,-0.17236,0.64942,7.4,LANE_FOLLOW
0.68,0.29948,0.2663,0.68224,0.62641,0.49956,0.37717,0.30116,-0.00432,-0.00953,-0.18048,0.64942,7.4,LANE_FOLLOW
0.7,0.31007,0.2749,0.67799,0.62641,0.49956,0.37628,0.30116,-0.00445,-0.01378,-0.18545,0.64942,7.4,LANE_FOLLOW
0.72,0.32064,0.28342,0.67377,0.67145,0.5218,0.36495,0.35393,-0.00507,0.00011,-0.20097,0.62304,7.4,LANE_FOLLOW
0.74,0.33115,0.2918,0.6689,0.67145,0.5218,0.36364,0.35393,-0.00507,-0.00476,-0.21038,0.62304,7.4,LANE_FOLLOW
0.76,0.3416,0.30007,0.66406,0.67145,0.5218,0.36248,0.35393,-0.00513,-0.00959,-0.21612,0.62304,7.4,LANE_FOLLOW
0.78,0.35202,0.30822,0.65926,0.67145,0.5218,0.36147,0.35393,-0.00526,-0.01439,-0.21967,0.62304,7.4,LANE_FOLLOW
0.8,0.3624,0.31626,0.65448,0.67145,0.5218,0.35113,0.40111,-0.00586,0.00066,-0.22191,0.59944,7.4,LANE_FOLLOW
0.82,0.37272,0.32418,0.64975,0.67145,0.5218,0.34978,0.40111,-0.00585,-0.00407,-0.22337,0.59944,7.4,LANE_FOLLOW
0.84,0.38297,0.33197,0.64506,0.67145,0.5218,0.34859,0.40111,-0.0059,-0.00877,-0.22437,0.59944,7.4,LANE_FOLLOW
